
code,name,type,parent
1000,Assets,ASSET,
1100,Current Assets,ASSET,1000
1110,Cash on Hand,ASSET,1100
1120,Petty Cash,ASSET,1100

1130,Bank Accounts,ASSET,1100
1131,Bank Account - A,ASSET,1130
1132,Bank Account - B,ASSET,1130

1200,Accounts Receivable,ASSET,1100
1210,Patient Receivables,ASSET,1200
1220,Insurance Receivables,ASSET,1200

1300,Inventory,ASSET,1100
1310,Medicine Inventory,ASSET,1300
1320,Medical Supplies Inventory,ASSET,1300

1400,Prepaid Expenses,ASSET,1100
1500,Advance & Deposits,ASSET,1100
1510,Advance to Staff,ASSET,1500

1600,Tax Assets,ASSET,1100
1610,Input VAT Recoverable,ASSET,1600
1620,AIT Receivable,ASSET,1600

1700,Fixed Assets,ASSET,1000
1710,Medical Equipment,ASSET,1700
1720,Furniture & Fixtures,ASSET,1700
1730,Computer & IT Equipment,ASSET,1700
1740,Office Equipment,ASSET,1700
1750,Motor Vehicle,ASSET,1700
1760,Accumulated Depreciation,ASSET,1700



2000,Liabilities,LIABILITY,
2100,Current Liabilities,LIABILITY,2000

2110,Accounts Payable,LIABILITY,2100
2120,Medicine Payable,LIABILITY,2110
2130,Supplier Payable,LIABILITY,2110

2200,Tax Liabilities,LIABILITY,2100
2210,Output VAT Payable,LIABILITY,2200
2220,AIT Payable,LIABILITY,2200

2300,Accrued Liabilities,LIABILITY,2100
2310,Accrued Expenses,LIABILITY,2300

2400,Deferred Income,LIABILITY,2100
2410,Advance from Patients,LIABILITY,2400

2500,Payroll Related,LIABILITY,2100
2510,Salary Payable,LIABILITY,2500
2520,Overtime Payable,LIABILITY,2500

2600,Service Payables,LIABILITY,2100
2610,Doctor Service Payable,LIABILITY,2600
2620,Referral Commission Payable,LIABILITY,2600
2630,External Contractor Payable,LIABILITY,2600

2700,Long-term Liabilities,LIABILITY,2000
2710,Long-term Loans,LIABILITY,2700


3000,Equity,EQUITY,
3100,Share Capital,EQUITY,3000
3200,Retained Earnings,EQUITY,3000
3300,Owner Withdrawals,EQUITY,3000


4000,Revenue,INCOME,

4100,Consultation Revenue,INCOME,4000
4200,Lab Test Revenue,INCOME,4000
4300,Medicine Sales Revenue,INCOME,4000
4400,Ward / Bed Revenue,INCOME,4000
4500,Operation Theatre Revenue,INCOME,4000
4600,Service Charges Revenue,INCOME,4000
4700,Miscellaneous Revenue,INCOME,4000
4800,Discounts Allowed (Contra Revenue),INCOME,4000
4900,Other Income,INCOME,4000
4910,Interest Income,INCOME,4900


5000,Expenses,EXPENSE,

5100,Cost of Goods Sold,EXPENSE,5000
5110,Medicine Purchase,EXPENSE,5100
5120,Medical Consumables Used,EXPENSE,5100

5200,Operating Expenses,EXPENSE,5000
5210,Salaries & Wages,EXPENSE,5200
5220,Consultant / Doctor Fees,EXPENSE,5200
5230,Nurse & Staff Overtime,EXPENSE,5200
5240,Referral Commission Expense,EXPENSE,5200
5250,Office Rent,EXPENSE,5200
5260,Utilities,EXPENSE,5200
5261,Electricity,EXPENSE,5260
5262,Water,EXPENSE,5260
5263,Internet,EXPENSE,5260

5300,Admin Expenses,EXPENSE,5000
5310,Printing & Stationery,EXPENSE,5300
5320,Travel & Transport,EXPENSE,5300
5330,Marketing Expense,EXPENSE,5300
5340,Professional Fees,EXPENSE,5300

5400,Financial Expenses,EXPENSE,5000
5410,Bank Charges,EXPENSE,5400
5420,Interest Expense,EXPENSE,5400

5500,Depreciation Expense,EXPENSE,5000
5600,Bad Debt Expense,EXPENSE,5000

